發送編號,起始時間,結束時間,消耗時間
1,2021-05-04 10:07:39.598,2021-05-04 10:07:39.633,34ms
發送編號,起始時間,結束時間,消耗時間
1,2021-05-04 10:07:51.081,2021-05-04 10:07:51.116,35ms
2,2021-05-04 10:08:51.119,2021-05-04 10:08:51.155,36ms
3,2021-05-04 10:09:51.119,2021-05-04 10:09:51.153,33ms
4,2021-05-04 10:10:51.117,2021-05-04 10:10:51.151,33ms
5,2021-05-04 10:11:51.117,2021-05-04 10:11:51.152,35ms
6,2021-05-04 10:12:51.117,2021-05-04 10:12:51.153,36ms
7,2021-05-04 10:13:51.117,2021-05-04 10:13:51.153,35ms
