發送編號,起始時間,結束時間,消耗時間
1,2021-04-26 17:25:27.252,2021-04-26 17:25:27.273,20ms
2,2021-04-26 17:26:27.278,2021-04-26 17:26:27.298,20ms
3,2021-04-26 17:27:27.279,2021-04-26 17:27:27.297,18ms
4,2021-04-26 17:28:27.277,2021-04-26 17:28:27.296,19ms
5,2021-04-26 17:29:27.276,2021-04-26 17:29:27.302,25ms
6,2021-04-26 17:30:27.279,2021-04-26 17:30:27.297,17ms
7,2021-04-26 17:31:27.280,2021-04-26 17:31:27.298,17ms
8,2021-04-26 17:32:27.278,2021-04-26 17:32:27.298,19ms
9,2021-04-26 17:33:27.279,2021-04-26 17:33:27.298,19ms
