發送編號,起始時間,結束時間,消耗時間
1,2021-05-04 10:28:46.465,2021-05-04 10:28:46.483,18ms
發送編號,起始時間,結束時間,消耗時間
1,2021-05-04 10:28:52.789,2021-05-04 10:28:52.808,19ms
